CP,msg
productor,"{index: 0, value: .\..\..\.gitignore}"
consumer,"{index: 0, value: .\..\..\.gitignore}"
productor,"{index: 0, value: .\..\..\LICENSE.md}"
consumer,"{index: 0, value: .\..\..\LICENSE.md}"
productor,"{index: 0, value: .\..\..\multiprocessing.csv}"
consumer,"{index: 0, value: .\..\..\multiprocessing.csv}"
productor,"{index: 0, value: .\..\..\setup.py}"
consumer,"{index: 0, value: .\..\..\setup.py}"
productor,"{index: 0, value: .\..\..\trace.log}"
consumer,"{index: 0, value: .\..\..\trace.log}"
productor,"{index: 1, value: .\..\..\.git\COMMIT_EDITMSG}"
consumer,"{index: 1, value: .\..\..\.git\COMMIT_EDITMSG}"
productor,"{index: 1, value: .\..\..\.git\config}"
consumer,"{index: 1, value: .\..\..\.git\config}"
productor,"{index: 1, value: .\..\..\.git\description}"
consumer,"{index: 1, value: .\..\..\.git\description}"
productor,"{index: 1, value: .\..\..\.git\FETCH_HEAD}"
consumer,"{index: 1, value: .\..\..\.git\FETCH_HEAD}"
productor,"{index: 1, value: .\..\..\.git\HEAD}"
consumer,"{index: 1, value: .\..\..\.git\HEAD}"
productor,"{index: 1, value: .\..\..\.git\index}"
consumer,"{index: 1, value: .\..\..\.git\index}"
productor,"{index: 1, value: .\..\..\.git\ms-persist.xml}"
consumer,"{index: 1, value: .\..\..\.git\ms-persist.xml}"
productor,"{index: 1, value: .\..\..\.git\ORIG_HEAD}"
consumer,"{index: 1, value: .\..\..\.git\ORIG_HEAD}"
productor,"{index: 1, value: .\..\..\.git\packed-refs}"
consumer,"{index: 1, value: .\..\..\.git\packed-refs}"
productor,"{index: 2, value: .\..\..\.git\hooks\applypatch-msg.sample}"
consumer,"{index: 2, value: .\..\..\.git\hooks\applypatch-msg.sample}"
productor,"{index: 2, value: .\..\..\.git\hooks\commit-msg.sample}"
consumer,"{index: 2, value: .\..\..\.git\hooks\commit-msg.sample}"
productor,"{index: 2, value: .\..\..\.git\hooks\fsmonitor-watchman.sample}"
consumer,"{index: 2, value: .\..\..\.git\hooks\fsmonitor-watchman.sample}"
productor,"{index: 2, value: .\..\..\.git\hooks\post-update.sample}"
consumer,"{index: 2, value: .\..\..\.git\hooks\post-update.sample}"
productor,"{index: 2, value: .\..\..\.git\hooks\pre-applypatch.sample}"
consumer,"{index: 2, value: .\..\..\.git\hooks\pre-applypatch.sample}"
productor,"{index: 2, value: .\..\..\.git\hooks\pre-commit.sample}"
consumer,"{index: 2, value: .\..\..\.git\hooks\pre-commit.sample}"
productor,"{index: 2, value: .\..\..\.git\hooks\pre-merge-commit.sample}"
consumer,"{index: 2, value: .\..\..\.git\hooks\pre-merge-commit.sample}"
productor,"{index: 2, value: .\..\..\.git\hooks\pre-push.sample}"
consumer,"{index: 2, value: .\..\..\.git\hooks\pre-push.sample}"
productor,"{index: 2, value: .\..\..\.git\hooks\pre-rebase.sample}"
consumer,"{index: 2, value: .\..\..\.git\hooks\pre-rebase.sample}"
productor,"{index: 2, value: .\..\..\.git\hooks\pre-receive.sample}"
consumer,"{index: 2, value: .\..\..\.git\hooks\pre-receive.sample}"
productor,"{index: 2, value: .\..\..\.git\hooks\prepare-commit-msg.sample}"
consumer,"{index: 2, value: .\..\..\.git\hooks\prepare-commit-msg.sample}"
productor,"{index: 2, value: .\..\..\.git\hooks\push-to-checkout.sample}"
consumer,"{index: 2, value: .\..\..\.git\hooks\push-to-checkout.sample}"
productor,"{index: 2, value: .\..\..\.git\hooks\update.sample}"
consumer,"{index: 2, value: .\..\..\.git\hooks\update.sample}"
productor,"{index: 3, value: .\..\..\.git\info\exclude}"
consumer,"{index: 3, value: .\..\..\.git\info\exclude}"
productor,"{index: 4, value: .\..\..\.git\logs\HEAD}"
consumer,"{index: 4, value: .\..\..\.git\logs\HEAD}"
productor,"{index: 6, value: .\..\..\.git\logs\refs\heads\main}"
consumer,"{index: 6, value: .\..\..\.git\logs\refs\heads\main}"
productor,"{index: 8, value: .\..\..\.git\logs\refs\remotes\origin\HEAD}"
consumer,"{index: 8, value: .\..\..\.git\logs\refs\remotes\origin\HEAD}"
productor,"{index: 8, value: .\..\..\.git\logs\refs\remotes\origin\main}"
consumer,"{index: 8, value: .\..\..\.git\logs\refs\remotes\origin\main}"
productor,"{index: 10, value: .\..\..\.git\objects\00\d3d248bfc4607284c3b38482073e3427fe8be9}"
consumer,"{index: 10, value: .\..\..\.git\objects\00\d3d248bfc4607284c3b38482073e3427fe8be9}"
productor,"{index: 11, value: .\..\..\.git\objects\01\ba9ebe258f5e5edef984868ca59de9611cb2f9}"
consumer,"{index: 11, value: .\..\..\.git\objects\01\ba9ebe258f5e5edef984868ca59de9611cb2f9}"
productor,"{index: 12, value: .\..\..\.git\objects\02\0de3bb36213b47d0567dc919d584d1db34dd43}"
consumer,"{index: 12, value: .\..\..\.git\objects\02\0de3bb36213b47d0567dc919d584d1db34dd43}"
productor,"{index: 12, value: .\..\..\.git\objects\02\2191915c779bcdaad2243fb56e36278cddb251}"
consumer,"{index: 12, value: .\..\..\.git\objects\02\2191915c779bcdaad2243fb56e36278cddb251}"
productor,"{index: 12, value: .\..\..\.git\objects\02\e018107dff087266145c66527aa5c971c78b9e}"
consumer,"{index: 12, value: .\..\..\.git\objects\02\e018107dff087266145c66527aa5c971c78b9e}"
productor,"{index: 13, value: .\..\..\.git\objects\06\38a7946ce4eb7c19c5d34f216da0ad566d51af}"
consumer,"{index: 13, value: .\..\..\.git\objects\06\38a7946ce4eb7c19c5d34f216da0ad566d51af}"
productor,"{index: 14, value: .\..\..\.git\objects\0c\dc3b5071d925aff72ce7976084f89823e0d3a6}"
consumer,"{index: 14, value: .\..\..\.git\objects\0c\dc3b5071d925aff72ce7976084f89823e0d3a6}"
productor,"{index: 15, value: .\..\..\.git\objects\0d\410fdc68c8fab063261c70dc76b569e79620ab}"
consumer,"{index: 15, value: .\..\..\.git\objects\0d\410fdc68c8fab063261c70dc76b569e79620ab}"
productor,"{index: 16, value: .\..\..\.git\objects\0e\f1ffa3090a9184bec702f1af269ae2a7ad21f1}"
consumer,"{index: 16, value: .\..\..\.git\objects\0e\f1ffa3090a9184bec702f1af269ae2a7ad21f1}"
productor,"{index: 17, value: .\..\..\.git\objects\11\fd62303d0269547e1938eb52d99ffbe69c7d76}"
consumer,"{index: 17, value: .\..\..\.git\objects\11\fd62303d0269547e1938eb52d99ffbe69c7d76}"
productor,"{index: 18, value: .\..\..\.git\objects\1c\20f8f179bc33adfee53b0f39db4ce5865f607b}"
consumer,"{index: 18, value: .\..\..\.git\objects\1c\20f8f179bc33adfee53b0f39db4ce5865f607b}"
productor,"{index: 18, value: .\..\..\.git\objects\1c\7bb907ee67e392e3baa0e7527d246f3bfa6070}"
consumer,"{index: 18, value: .\..\..\.git\objects\1c\7bb907ee67e392e3baa0e7527d246f3bfa6070}"
productor,"{index: 19, value: .\..\..\.git\objects\1d\62b1e799cfe75d838ecabfb80d43e264982289}"
consumer,"{index: 19, value: .\..\..\.git\objects\1d\62b1e799cfe75d838ecabfb80d43e264982289}"
productor,"{index: 20, value: .\..\..\.git\objects\1f\c859986442d3d79a0dc058ba52f589a7d48655}"
consumer,"{index: 20, value: .\..\..\.git\objects\1f\c859986442d3d79a0dc058ba52f589a7d48655}"
productor,"{index: 21, value: .\..\..\.git\objects\20\eccf882d5ac47c4b4f222b1bc84987f4efda6e}"
consumer,"{index: 21, value: .\..\..\.git\objects\20\eccf882d5ac47c4b4f222b1bc84987f4efda6e}"
productor,"{index: 22, value: .\..\..\.git\objects\21\572d93104e6a918da63dba9cfc0fd0158df8c9}"
consumer,"{index: 22, value: .\..\..\.git\objects\21\572d93104e6a918da63dba9cfc0fd0158df8c9}"
productor,"{index: 22, value: .\..\..\.git\objects\21\9b98f33a78d0ce9d30c541b01263c6a4dc4bd2}"
consumer,"{index: 22, value: .\..\..\.git\objects\21\9b98f33a78d0ce9d30c541b01263c6a4dc4bd2}"
productor,"{index: 23, value: .\..\..\.git\objects\22\0de9212d46ef7f6e2d9ab2e02c63fc288c84eb}"
consumer,"{index: 23, value: .\..\..\.git\objects\22\0de9212d46ef7f6e2d9ab2e02c63fc288c84eb}"
productor,"{index: 23, value: .\..\..\.git\objects\22\9dd547dcc5880016bfbd47819cab59672b8ed5}"
consumer,"{index: 23, value: .\..\..\.git\objects\22\9dd547dcc5880016bfbd47819cab59672b8ed5}"
productor,"{index: 23, value: .\..\..\.git\objects\22\9f5ccb11863ea5b2709adc6c50e6a43dc2227b}"
consumer,"{index: 23, value: .\..\..\.git\objects\22\9f5ccb11863ea5b2709adc6c50e6a43dc2227b}"
productor,"{index: 24, value: .\..\..\.git\objects\25\14d15486b242f27dea114977eb3d9804cdf28a}"
consumer,"{index: 24, value: .\..\..\.git\objects\25\14d15486b242f27dea114977eb3d9804cdf28a}"
productor,"{index: 25, value: .\..\..\.git\objects\27\836edadc6f4c768fd3370a195a3d4a6d2c7dbe}"
consumer,"{index: 25, value: .\..\..\.git\objects\27\836edadc6f4c768fd3370a195a3d4a6d2c7dbe}"
productor,"{index: 25, value: .\..\..\.git\objects\27\cc53e450fefeb508e994de6c2f4e8985a97028}"
consumer,"{index: 25, value: .\..\..\.git\objects\27\cc53e450fefeb508e994de6c2f4e8985a97028}"
productor,"{index: 26, value: .\..\..\.git\objects\29\ccdd9326c098064febf8db18ff70247b03ff8a}"
consumer,"{index: 26, value: .\..\..\.git\objects\29\ccdd9326c098064febf8db18ff70247b03ff8a}"
productor,"{index: 27, value: .\..\..\.git\objects\2a\c66eee620e4a962458adcd976c7124e81b103e}"
consumer,"{index: 27, value: .\..\..\.git\objects\2a\c66eee620e4a962458adcd976c7124e81b103e}"
productor,"{index: 28, value: .\..\..\.git\objects\2e\8fcbcd4d304afe27b5261ba5ef0d82f8b06720}"
consumer,"{index: 28, value: .\..\..\.git\objects\2e\8fcbcd4d304afe27b5261ba5ef0d82f8b06720}"
productor,"{index: 29, value: .\..\..\.git\objects\31\2906d7fea79d5e2250453aa102ef64cddff938}"
consumer,"{index: 29, value: .\..\..\.git\objects\31\2906d7fea79d5e2250453aa102ef64cddff938}"
productor,"{index: 30, value: .\..\..\.git\objects\32\3c8f09b81357a8b68f4a67a0c51d8a2917f06c}"
consumer,"{index: 30, value: .\..\..\.git\objects\32\3c8f09b81357a8b68f4a67a0c51d8a2917f06c}"
productor,"{index: 30, value: .\..\..\.git\objects\32\e910540ce2ca0572a91d8ef1d4fc3c071b207e}"
consumer,"{index: 30, value: .\..\..\.git\objects\32\e910540ce2ca0572a91d8ef1d4fc3c071b207e}"
productor,"{index: 31, value: .\..\..\.git\objects\33\2a69b7d8a8cb83d5caf43334d6316522eb97b8}"
consumer,"{index: 31, value: .\..\..\.git\objects\33\2a69b7d8a8cb83d5caf43334d6316522eb97b8}"
productor,"{index: 32, value: .\..\..\.git\objects\3b\4392b0189af455cfbbb559a721a2127dcdd8f1}"
consumer,"{index: 32, value: .\..\..\.git\objects\3b\4392b0189af455cfbbb559a721a2127dcdd8f1}"
productor,"{index: 33, value: .\..\..\.git\objects\3d\e0d8bdd702ab33a0b29fc70f5837e0714f394f}"
consumer,"{index: 33, value: .\..\..\.git\objects\3d\e0d8bdd702ab33a0b29fc70f5837e0714f394f}"
productor,"{index: 34, value: .\..\..\.git\objects\3e\65aaae59e082a8af8937664c8ab405008e155c}"
consumer,"{index: 34, value: .\..\..\.git\objects\3e\65aaae59e082a8af8937664c8ab405008e155c}"
productor,"{index: 35, value: .\..\..\.git\objects\40\320ab3c76865d0d1c360ec5fa2f1bd337bd665}"
consumer,"{index: 35, value: .\..\..\.git\objects\40\320ab3c76865d0d1c360ec5fa2f1bd337bd665}"
productor,"{index: 36, value: .\..\..\.git\objects\43\66caa3716ce0eafa4097de263ceaf1de5d4b61}"
consumer,"{index: 36, value: .\..\..\.git\objects\43\66caa3716ce0eafa4097de263ceaf1de5d4b61}"
productor,"{index: 37, value: .\..\..\.git\objects\46\9566b5830bfd06786daba786ac6e9e44fb58e7}"
consumer,"{index: 37, value: .\..\..\.git\objects\46\9566b5830bfd06786daba786ac6e9e44fb58e7}"
productor,"{index: 38, value: .\..\..\.git\objects\47\3c00a8813fb7410ff5c72bcfa3f5f99f7bc443}"
consumer,"{index: 38, value: .\..\..\.git\objects\47\3c00a8813fb7410ff5c72bcfa3f5f99f7bc443}"
productor,"{index: 39, value: .\..\..\.git\objects\48\ba45db0890930fe303a3f0a60f1b6b7d4cfaf2}"
consumer,"{index: 39, value: .\..\..\.git\objects\48\ba45db0890930fe303a3f0a60f1b6b7d4cfaf2}"
productor,"{index: 40, value: .\..\..\.git\objects\4a\6995814ec1def272cdca470290b205be7f56e1}"
consumer,"{index: 40, value: .\..\..\.git\objects\4a\6995814ec1def272cdca470290b205be7f56e1}"
productor,"{index: 41, value: .\..\..\.git\objects\4d\92d6de3cc25425196792693b27074ccbd53d80}"
consumer,"{index: 41, value: .\..\..\.git\objects\4d\92d6de3cc25425196792693b27074ccbd53d80}"
productor,"{index: 42, value: .\..\..\.git\objects\52\9ca5f61872b972eba570c14a9e299d196a9b71}"
consumer,"{index: 42, value: .\..\..\.git\objects\52\9ca5f61872b972eba570c14a9e299d196a9b71}"
productor,"{index: 43, value: .\..\..\.git\objects\56\1eef07a2a98ccc34b8be66e64ae47105435ec1}"
